DataAttPDF;NomePregao;CodNegociacao;CNPJ;CassifSetor;Site;DatAtualAtlz;DatUltimAtlz;AtivoImobAtual;AtivoImobUltimo;AtivoTotalAtual;AtivoTotalUltimo;PatrimLiquidoAtual;PatrimLiquidoUltimo;PatrimLiqControladoraAtual;PatrimLiqControladoraUltimo;ReceitaVendaAtual;ReceitaVendaUltimo;ResultadoBrutoAtual;ResultadoBrutoUltimo;LucroPrejPeriodoAtual;LucroPrejPeriodoUltimo;ResultEquivalenciaAtual;ResultEquivalenciaUltimo;ResultFinanceiroAtual;ResultFinanceiroUltimo;AtividOperacionaisAtual;AtividOperacionaisUltimo;AtividInvestAtual;AtividInvestUltimo;AtividFinancAtual;AtividFinancUltimo;VariacaoCambialAtual;VariacaoCambialUltimo;AumentoCaixaAtual;AumentoCaixaUltimo;TotalAcoes;InvestPFisicas;InvestPJuridicas;InvestInstitucionais;ComposicaoCapital;TotalInvests;VariacaoPatrimLiquido;VariacaoReceitaVenda;VariacaoLucroPrejPeriodo;VariacaoResultadoBruto;VariacaoAtividOperacionais;VariacaoAtividInvest;VariacaoAtividFinanc
14/03/2024;HAPVIDA;HAPV3;05.197.443/0001-38;saude / serv.med.hospit..analises e;www.hapvida.com.br;30/09/2023;31/12/2022;58208836.0;59061848.0;74771863.0;73213730.0;49123078.0;48756711.0;49114428.0;48749437.0;20447881.0;17246350.0;5072501.0;4149893.0;709393.0;459168.0;0.0;0.0;1048379.0;776208.0;1809501.0;813149.0;995928.0;1814807.0;1440584.0;2406505.0;0.0;0.0;627011.0;221451.0;4455957762;48099;300;2237;7539463263.0;50636;366367.0;3201531.0;250225.0;922608.0;996352.0;-818879.0;-965921.0
14/03/2024;IGUATEMI S.A;IGTI11;60.543.816/0001-93;financeiro / exploracao de imoveis /;ri.iguatemi.com.br;31/12/2023;31/12/2022;5539905.0;5493036.0;7791679.0;8048137.0;4177518.0;4107688.0;4177323.0;4093329.0;1157163.0;1016341.0;738955.0;595457.0;308934.0;12821.0;33787.0;4400.0;260331.0;625684.0;378103.0;192739.0;458186.0;410805.0;87392.0;231300.0;0.0;0.0;0.0;0.0;681067118;56072;1375;49;1224809778.0;57496;69830.0;140822.0;296113.0;143498.0;185364.0;47381.0;-143908.0
14/03/2024;ITAUUNIBANCO;ITUB3;60.872.504/0001-23;financeiro / intermediarios financeiros /;www.itau-unibanco.com.br/relacoes-com-;31/12/2023;31/12/2022;32499000.0;30881000.0;2543100000.0;2321066000.0;199050000.0;177107000.0;190177000.0;167717000.0;0.0;0.0;124526000.0;114542000.0;33877000.0;30242000.0;920000.0;672000.0;0.0;0.0;77493000.0;129633000.0;31230000.0;0.0;22448000.0;31714000.0;11529000.0;24279000.0;12286000.0;370000.0;5185506430;464049;12903;1422;9804135348.0;478374;21943000.0;0.0;3635000.0;9984000.0;-52140000.0;31230000.0;-9266000.0
14/03/2024;MAGAZ LUIZA;MGLU3;47.960.950/0001-21;consumo ciclico / comercio /;www.magazineluiza.com.br;30/09/2023;31/12/2022;9998927.0;10233319.0;36918960.0;38098122.0;9532654.0;9726584.0;9532654.0;9726584.0;26218408.0;26131584.0;7697584.0;7033035.0;269183.0;665131.0;28353.0;25944.0;1465059.0;1472233.0;2597830.0;1761045.0;142593.0;1090468.0;2071259.0;1424585.0;0.0;0.0;383978.0;754008.0;2874188573;579661;2405;924;6748926848.0;582990;-193930.0;86824.0;-395948.0;664549.0;836785.0;-947875.0;646674.0
14/03/2024;PETROBRAS;PETR3;33.000.167/0001-01;petroleo. gas e biocombustiveis / petroleo.;www.petrobras.com.br;31/12/2023;31/12/2022;764074000.0;702935000.0;1050888000.0;976709000.0;382340000.0;364385000.0;380441000.0;362594000.0;511994000.0;641256000.0;269933000.0;334100000.0;125166000.0;189005000.0;1480000.0;1291000.0;11861000.0;19257000.0;215696000.0;255410000.0;39495000.0;4377000.0;153435000.0;264156000.0;2876000.0;3636000.0;19890000.0;16759000.0;8268271696;858992;5807;2748;13044496930.0;867547;17955000.0;-129262000.0;-63839000.0;-64167000.0;-39714000.0;35118000.0;-110721000.0
14/03/2024;PETZ;PETZ3;18.328.118/0001-09;consumo ciclico / comercio / produtos;www.petz.com.br (http://www.petz.com.br);31/12/2023;31/12/2022;2465776.0;2449887.0;3995411.0;3647129.0;1808893.0;1840572.0;1808893.0;1840572.0;3173241.0;2834533.0;1481788.0;1350572.0;16349.0;50590.0;0.0;0.0;101578.0;61231.0;429095.0;202790.0;616532.0;396406.0;120319.0;294645.0;62068.0;0.0;129186.0;488261.0;335865260;93903;282;1146;462523502.0;95331;-31679.0;338708.0;-34241.0;131216.0;226305.0;220126.0;-174326.0
14/03/2024;TAESA;TAEE11;07.859.971/0001-30;utilidade publica / energia eletrica /;www.taesa.com.br;31/12/2023;31/12/2022;3889620.0;3951961.0;19448656.0;17309081.0;6679310.0;6570476.0;6679310.0;6570476.0;3362116.0;2616517.0;2121396.0;2118069.0;1367834.0;1449215.0;427513.0;564887.0;903822.0;737557.0;756402.0;2010871.0;75297.0;0.0;458158.0;1001313.0;0.0;0.0;222947.0;698350.0;655704742;392926;445;1175;1033496721.0;394546;108834.0;745599.0;-81381.0;3327.0;-1254469.0;75297.0;-543155.0
14/03/2024;TIM;TIMS3;02.421.421/0001-11;comunicacoes / telecomunicacoes /;Não encontrado;31/12/2023;31/12/2022;39487668.0;40617816.0;55260156.0;56408367.0;26015940.0;25397365.0;26015940.0;25397365.0;23833893.0;21530801.0;12337456.0;10874820.0;2837422.0;1670755.0;89304.0;61587.0;1533265.0;1439008.0;12420656.0;9162259.0;4683538.0;8353129.0;7207900.0;3489032.0;0.0;0.0;0.0;0.0;808436195;1259476;229157;83;2420804398.0;1488716;618575.0;2303092.0;1166667.0;1462636.0;3258397.0;-3669591.0;3718868.0
14/03/2024;VALE;VALE3;33.592.510/0001-54;materiais basicos / mineracao / minerais;Não encontrado;31/12/2023;31/12/2022;299672000.0;297274000.0;455984000.0;453387000.0;198325000.0;194894000.0;190965000.0;187112000.0;208066000.0;226508000.0;88050000.0;102313000.0;40554000.0;96337000.0;5434000.0;1616000.0;9718000.0;11378000.0;65905000.0;58201000.0;31425000.0;0.0;37002000.0;71005000.0;4715000.0;3718000.0;7237000.0;40698000.0;4448529763;510874;13871;2342;4539007580.0;527087;3431000.0;-18442000.0;-55783000.0;-14263000.0;7704000.0;31425000.0;-34003000.0
14/03/2024;VAMOS;VAMO3;23.373.000/0001-32;consumo ciclico / diversos / aluguel de;http://www.grupovamos.com.br/;30/09/2023;31/12/2022;13271083.0;12250835.0;19219164.0;16675416.0;4878781.0;3638888.0;4878781.0;3638888.0;4632745.0;3522021.0;2053244.0;1470709.0;391527.0;414354.0;0.0;0.0;1178667.0;549810.0;1683442.0;2715876.0;279335.0;127105.0;2263417.0;2773527.0;0.0;0.0;300640.0;69454.0;314724970;7;501;1207;1104324569.0;1715;1239893.0;1110724.0;-22827.0;582535.0;-1032434.0;152230.0;-510110.0
